"asset_name","asset_type","asset_notes","live_music","event_venu","discipline","web_notes","website","council_district","coa_facility","mapkey","date_updat","map_list","source","location_1"
"Alianza Cultural Latinoamericana","Organization","Arts Advocacy & Support Orgs"," "," ","Multidisciplinary","La Alianza Cultural Latinoamericana es una comunidad de artistas y personas amantes del arte, que promueven las expresiones culturales de Latinoamerica en Austin Texas. ACL es una organizacion que busca acercar las formas del Arte Latinoamericano a la co","http://www.alianzacultural.net","6"," ","6062","2016","xy","NPA_org","10015 Lake Creek Pkwy Apt 133
Austin, TX 78729
(30.466608, -97.787256)"
"Alice P Whyte Restoration","Business","Service & Support Business"," "," ","Visual Arts"," "," ","0"," ","370","2014","xy","SIAP","5006 Timothy Cir
Austin, TX 78734
(30.407393, -97.917365)"
"Alicia Post Design","Business","Graphic Design Services"," "," ","Graphic Design, Printmaking"," "," ","9"," ","9556","2014","xy","SIAP","1400 Wilshire Blvd
Austin, TX 78722
(30.296846, -97.713926)"
"Alisa's Dance Academy","Creative Workspace","Dance Studio"," "," ","Dance"," "," ","8"," ","8067","2016","xy","SIAP","3267 Bee Caves Rd
Austin, TX 78746
(30.274338, -97.800824)"
"All American Photo","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","9"," ","9337","2014","xy","SIAP","1010 N Lamar Blvd
Austin, TX 78703
(30.275241, -97.752515)"
"All Faiths Chapel at Austin State Hospital","House of Worship","House of Worship"," "," ","Theater Arts","The Performing Arts Center of the Austin State Hospital"," ","9"," ","9615","2016","xy","NPA_ven","4110 Guadalupe
Austin, TX 78751
(30.306488, -97.736097)"
"All Music Xpress","Business","Supplier, Retail"," "," ","Music"," "," ","4"," ","4122","2014","xy","SIAP","8400 Beech Dr
Austin, TX 78758
(30.357626, -97.714882)"
"Allan House","Event Venue","Event Venue"," ","Event Venue","Multidisciplinary","Venue for many special events.","http://www.allanhouse.com","9"," ","9145","2016","xy","NPA_ven","1104 San Antonio St
Austin, TX 78701
(30.274161, -97.745885)"
"Allegra Print & Imaging","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","4"," ","4042","2014","xy","SIAP","7801 N Lamar Blvd
Austin, TX 78752
(30.345739, -97.713016)"
"Alleywood Studios","Business","Service & Support Business"," "," ","Theater Arts","This central and eclectic area boasts many of Austin's most popular gathering places for dining, music and entertainment. Projects abound at Alleywood.","http://www.ckmcfarland.com/alleywood.htm","9"," ","9636","2016","xy","NPA_org","1902 South Congress
Austin, TX 78764
(30.244994, -97.75182)"
"Alliance Business Solutions LLC Translation Services","Business","Service & Support Business"," "," ","History, Culture, Heritage"," ","https://alliantranslate.com/","0"," ","672","2016","list","CAMP KIT","
Austin, TX 0
(0.0, 0.0)"
"Alliance For Women In Media","Organization","Societies, Alliances, Professional Associations"," "," ","Film/TV/Media"," ","http://awmaustin.org","9"," ","9640","2014","xy","SIAP","8309 N Ih-35
Austin, TX 78768
(30.270459, -97.744069)"
"Alliance Francaise D'Austin Texas","Organization","Cultural Heritage, Ethnicity, and Religious Groups"," "," ","Other"," ","www.afaustin.org","10"," ","10147","2014","xy","SIAP","4101 Medical Pkwy
Austin, TX 78756
(30.309896, -97.742333)"
"Austin Air","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","2"," ","2067","2014","xy","SIAP","8072 Thaxton Rd
Austin, TX 78747
(30.154712, -97.736045)"
"Allied Printing & Mailing Inc","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","4"," ","4099","2014","xy","SIAP","8222 N Lamar Blvd
Austin, TX 78753
(30.351338, -97.708898)"
"Allison Guitars","Business","Supplier, Retail"," "," ","Music"," "," ","3"," ","3310","2014","xy","SIAP","720 Us Highway 183 S
Austin, TX 78741
(30.250828, -97.685598)"
"Allstar Copying & Printing","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","4"," ","4012","2014","xy","SIAP","5314 Cameron Rd
Austin, TX 78723
(30.311, -97.70813)"
"Alma Tejano Entertainment","Organization","Band, Musical Group, Ensemble"," "," ","Music"," "," ","1"," ","1200","2014","xy","SIAP","2903 Pecan Cir
Austin, TX 78723
(30.30098, -97.683618)"
"Alpha Graphics","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","4"," ","4123","2014","xy","SIAP","2227 W Braker Ln
Austin, TX 78758
(30.391706, -97.712461)"
"Alpha Graphics","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","6"," ","6006","2014","xy","SIAP","10019 W Parmer Ln
Austin, TX 78717
(30.490042, -97.772496)"
"Alpha Graphics","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","8"," ","8070","2014","xy","SIAP","3267 Bee Caves Rd
Austin, TX 78746
(30.274338, -97.800824)"
"Alta Vista Recording Studios","Business","Service & Support Business"," "," ","Music"," "," ","2"," ","2020","2014","xy","SIAP","5116 Turnstone Dr
Austin, TX 78744
(30.18548, -97.744113)"
"Always Printing Inc","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","6"," ","6050","2014","xy","SIAP","13200 Pond Springs Rd
Austin, TX 78729
(30.445345, -97.778984)"
"AM Arts","Organization","Arts Advocacy & Support Orgs"," "," ","Multidisciplinary","AM Arts connects artists and communities internationally to produce homegrown art in Austin, TX. Under AM Arts, the TBX [ Toolbox Series ] offers professional workshops honing tools for the 21st century artist’s practice to further dance in an accessib","http://www.amarts.org","5"," ","5151","2016","xy","NPA_org","6218 Hillston Drive
Austin, TX 78745
(30.212299, -97.808395)"
"Amala Foundation","Organization","Community Development & Charitable Giving"," "," ","Multidisciplinary","The Amala Foundation provides opportunities for personal growth through humanitarian service projects that benefit youth, including local, immigrant, refugee, and international children.","http://amalafoundation.org","5"," ","5006","2014","addrs","SIAP","1006 S 8Th St
Austin, TX 78704
(30.255315, -97.761083)"
"Amara Produces","Event Venue","Event Venue"," "," ","Theater Arts","Amara Produces: This production house puts on numerous events including concerts and workshop series on traditional and theatrical Middle Eastern dance around the U.S.","http://amaradances.com/","3"," ","3258","2016","xy","NPA_org","3112 Corbin Lane
Austin, TX 78704
(30.236478, -97.772996)"
"AMC Barton Creek Square 14","Movie Theater","Movie Theater"," "," ","Film/TV/Media"," "," ","8"," ","8071","2014","xy","SIAP","2901 S Capital Of Texas Hwy
Austin, TX 78746
(30.25619, -97.810284)"
"AMC Co","Business","Supplier, Retail"," "," ","Textile/Apparel"," "," ","7"," ","7107","2014","xy","SIAP","2412 Greenlawn Pkwy
Austin, TX 78757
(30.348568, -97.735759)"
"American Art Therapy Association Inc","Education","Education, Creative Learning, Professional Development"," "," ","Visual Arts"," "," ","5"," ","5118","2014","xy","SIAP","3204 Whites Dr
Austin, TX 78735
(30.235956, -97.807361)"
"American Berserk Theatre","Organization","Theater Company"," "," ","Theater Arts","At American Berserk Theatre, we are deathly serious about fucking shit up. We aim to make art that is unapologetic, provocative, and above all, fun. We produce new American theatre and new interpretations of “canonical” plays. We believe theatre shou","http://www.americanberserktheatre.com","0"," ","19","2016","list","NPA_org","
Austin, TX 0
(0.0, 0.0)"
"American Genre Film Archive","Organization","Historical Societies & Historic Preservation"," "," ","Film/TV/Media","AGFA (American Genre Film Archive) is a non-profit that preserves the legacy of genre films through collection, conservation, and distribution. The American Genre Film Archive (AGFA) is housed at a secret location in Austin, Texas and is home to the r","http://americangenrefilm.com/","9"," ","9203","2014","xy","SIAP","612 E 6Th St
Austin, TX 78701
(30.266692, -97.736936)"
"American Guild Of Organists","Organization","Historical Societies & Historic Preservation"," "," ","Music"," "," ","6"," ","6075","2014","xy","SIAP","9529 Big View Dr
Austin, TX 78730
(30.361971, -97.856972)"
"American Landscape Light Dsgn","Business","Service & Support Business"," "," ","Theater Arts"," "," ","0"," ","454","2014","xy","SIAP","1026 Sunflower Trl
Austin, TX 78745
(30.227497, -97.814729)"
"American Legion Hall","Landmark","Landmark"," "," ","Other","American Legion Hall: Travis Post 76 can be used as an event venue. For facility rental information call or visit the website.","http://www.travispost76.com","10"," ","10020","2016","xy","NPA_ven","2201 Veterans Drive
Austin, TX 78703
(30.276992, -97.77245)"
"American Listeners Theatre","Organization","Historical Societies & Historic Preservation"," "," ","Theater Arts","American Listeners Theatre is delighting Listening Audiences with an eclectic Narrators Grail Quest through the Treasure Trove of Americana Story Legend and Lore from THE MAYPOLE OF MERRYMOUNT at our very beginning to A VISIT WITH JOHN HENRY and MESSAGES","http://www.americanlistenerstheatre.com/","8"," ","8064","2016","xy","NPA_org","7402 Brodie Ln
Austin, TX 78745
(30.210187, -97.833264)"
"American Needlepoint Guild Inc","Organization","Education, Creative Learning, Professional Development"," "," ","Textile/Apparel"," ","http://www.austinneedlepointers.org/programs.htm","10"," ","10090","2014","xy","SIAP","5206 Balcones Dr
Austin, TX 78731
(30.334103, -97.759995)"
"American Printing & Mailing","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","1"," ","1251","2014","xy","SIAP","1606 Headway Cir
Austin, TX 78754
(30.334234, -97.682945)"
"American Recorder Society","Organization","Historical Societies & Historic Preservation"," "," ","Music","The mission of the American Recorder Society is to promote the recorder and its music by:
Developing resources and standards to help people of all ages and ability levels to play and study the recorder
Presenting the instrument to new constituencies
Enco","http://www.main.org/austinars/","0"," ","20","2016","list","NPA_org","
,  0
(0.0, 0.0)"
"American Repertory Ensemble","Creative Workspace","Dance Studio"," "," ","Dance","The American Repertory Ensemble works to celebrate dance, music, and life through innovative performance. Concerts are programmed to highlight the inherent contrasts and similarities between dance with pre-recorded music, chamber music by itself, and the","http://www.americanrepensemble.org","0"," ","461","2016","xy","SIAP","4603 Charles Ave
Austin, TX 78746
(30.347053, -97.806589)"
"American Sewing Guild Inc","Organization","Education, Creative Learning, Professional Development"," "," ","Textile/Apparel"," "," ","10"," ","10201","2014","xy","SIAP","11605 Buckingham Rd
Austin, TX 78759
(30.42783, -97.772715)"
"American Video Productions","Business","Video Production"," "," ","Film/TV/Media"," "," ","0"," ","608","2014","list","SIAP","
Austin, TX 78767
(0.0, 0.0)"
"American Youthworks","Organization","Education, Creative Learning, Professional Development"," "," ","Other","The mission of American YouthWorks is to provide young people with opportunities to build careers, strengthen communities, and improve the environment through education, on-the-job training, and service to others.","http://americanyouthworks.org/","3"," ","3322","2014","xy","SIAP","1901 E Ben White Blvd
Austin, TX 78741
(30.215958, -97.748982)"
"Ameripolitan Awards Production","Organization","Historical Societies & Historic Preservation"," "," ","Music","The Ameripolitan Music Awards, a 501(c)3, was created under the leadership of Texas Honky Tonk legend, Dale Watson, to acknowledge the exceptional creativity and dedication of roots artists whose work does not readily conform to the tastes of today's ""Co","http://www.ameripolitan.com","0"," ","187","2016","list","NPA_org","
Austin, TX 78704
(0.0, 0.0)"
"Amie","Organization","Dance Company"," "," ","Dance","Our mission is to raise awareness of and appreciation for the traditional and new music and dance culture of the Indian subcontinent. We do so by presenting highlights of Amie Maciszewski's performance, scholarship, teaching, and the collaborative produc","http://www.sangeetmillennium.org","0"," ","363","2016","xy","NPA_org","9808 San Luis Trl
Austin, TX 78733
(30.349054, -97.861251)"
"Amigos De Las Americas","Organization","Societies, Alliances, Professional Associations"," "," ","Other","Youth leadership, cultural exchange, language","http://www.amigoslink.org","0"," ","477","2014","xy","SIAP","4107 Shadow Oak Ln
Austin, TX 78746
(30.332622, -97.78785)"
"Amped","Bar/Club/Venue","Bar/Club/Venue","Live Music"," ","Music","Welcome to the newest addition to Austin’s nightlife! Here at Amped, our goal is to provide you with a unique experience that will leave you speechless. We are a state of the art night club and live music venue. Whether you are looking to chill out and","http://ampedaustin.com/","9"," ","9031","2016","xy","TMO_16","300 East 6th Street
Austin, TX 78701
(30.267582, -97.740155)"
"Amphion Youth Choir","Organization","Band, Musical Group, Ensemble"," "," ","Music","Amphion Youth Choir is Austin's newest choral community for ages 15 - 23. This summer choir is dedicated toward high-energy vocal performance through the works of innovative new composers, world music, and contemporary acappella. Founded and directed by","www.amphionyc.org","0"," ","21","2016","list","NPA_org","
,  0
(0.0, 0.0)"
"Amphitheater/Mueller Lake Park","Theater","Amphitheater"," "," ","Multidisciplinary"," ","http://www.muelleraustinonline.com/","1"," ","1181","2016","addrs","D5 Meeting","4550 Mueller Blvd
Austin, TX 78723
(30.306657, -97.68314)"
"Amx Abe Event","Business","Service & Support Business"," "," ","Music"," "," ","4"," ","4124","2014","xy","SIAP","8400 Beech Dr
Austin, TX 78758
(30.357626, -97.714882)"
"And He Was Sad by Bob Coffee","Public Art","Art in Public Places Donation"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","9","COA","9684","2016","xy","AIPP","2819-3011 Harris Park Ave
Austin, TX 78705
(30.290215, -97.732799)"
